http://www.yvy.cz/,Restaurace Yvy,Mojmírovo náměstí 2993/13,612 00,Brno
http://www.gazebo.cz/index.php,Pizzeria Ristorante Gazebo,Merhautova 101,613 00,Brno
http://www.restauracezasedmero.cz/,Restaurace Za Sedmero,Adamovská 24/25,644 00,Brno
http://www.svatoboj.cz,Svatoboj,Cacovická 12,614 00,Brno
http://www.na-tahu.cz,Restaurace Na-tahu ,Bašty  413/2,602 00,Brno
http://www.pastouska.cz/,Restaurace Pastouška,Jílkova 3291/219,615 00,Brno
http://www.zebetinsky-dvur.cz/,Žebětínský dvůr,Křivánkovo nám.  33a,641 00,Brno
http://ratejna.cz/,Ratejna pizzerie,Dvořákova 588/13,602 00,Brno
http://pivovarskastarobrno.cz/,Pivovarská Starobrno,Mendlovo náměstí  20,603 00,Brno
http://www.delnickydumbrno.cz,Dělnický dům Židenice,Jamborova 3323/65,615 00,Brno
http://sportbar-arena.cz/,Sport - Bar Arena,Hybešova 259/21,602 00,Brno
http://www.restaurace-montana.cz,Montána,Libušina tř. 6a,62300,Brno
http://www.zzbrno.cz,Restaurace Zdravý život,Jaselská 194/11,602 00,Brno
http://www.ubadinu.cz/,Pivnice U Badinů,Tomáškova 653/2,615 00,Brno
http://www.slatinskysenk.cz,Restaurace Slatinský šenk,Zlínská 1329/12,627 00,Brno
http://www.stredovekakrcma.cz,Středověká Krčma,Nám. Svobody 17,602 00,Brno
http://www.krusovickaomega.cz,Omega,Křídlovická  19b ,602 00,Brno
http://www.leonessa.cz/#leonessa,Leonessa Ristorante & Pizzeria,Sukova 2,60200,Brno
http://restauraceulatalu.webnode.cz/,U Látalů,Břeclavská 21,61900,Brno
http://www.vivobene-gusto.cz,Vivobene Gusto,Běhounská  115/4,602 00,Brno
http://www.napoli-bistro.cz/,Napoli bistro,Jundrovská  43,624 00,Brno
http://www.charliesmill.cz/,Charlies Mill,Palackého třída 441/91,612 00,Brno
http://restauracefilii.cz/,Restaurace Filii,Antonínská  30,602 00,Brno
http://www.jidelnauvlka.cz,U Vlka,Cejl  29/76,602 00,Brno
http://www.napiskoveceste.cz/index.html,Restaurace Na pískové cestě,Na pískové cestě  1,625 00,Brno
http://www.linden-restaurant.cz/index.php,Linden Restaurant,Mácova 5,62100,Brno
http://www.restauraceviktoria.cz,Viktoria restaurant,Vodařská 232/2,619 00,Brno
http://www.staropramen.cz,Potrefená Husa Vaňkovka,Ve Vaňkovce 462/1,602 00,Brno
http://www.a-sporthotel.cz/restaurace/,Restaurace Campo (A-Sport Hotel),Vodova 108,61200,Brno
http://www.bristro.cz/,Bristro,Úvoz  447/120, 60200,Brno
http://www.ovegano.cz/,Ovegano,Zelny trh  14,602 00,Brno
http://www.vegalite.cz,Vegalite,Slovákova  10,602 00,Brno
http://www.stravovanijeer.cz,Stravování Jeer,Kounicova  688/26,602 00,Brno
http://www.campusriver.cz/,Campus River,Palachovo náměstí 726/2,625 00,Brno
http://www.ubosenohy.cz/,Hospůdka U Bosé nohy,Jiráskova 111/11,602 00,Brno
http://upantatu.cz,Hostinec U Pantátů,Kamenačky 20,63600,Brno
http://www.kanas.cz,Kanas Restaurant,Kolejní 3015,612 00,Brno
http://www.brnorestaurace.cz,Na Knoflíku,Běhounská  109/9,602 00,Brno
http://www.pivnicenasypce.cz/,Pivnice Na Sýpce,Chrlické náměstí   5 ,643 00,Brno
http://www.restauracelegenda.cz/,Restaurace Legenda,Jiráskova 48,60200,Brno
http://www.restaurace-parlament.cz/,Restaurace Parlament,Sokolova 71/60,619 00,Brno
http://www.restaurace-penzion.cz,Restaurace a penzion U Honzáků,Šromova 1a,64300,Brno
http://www.butchers.cz,Butchers,Dobrovského  96/29,612 00,Brno
http://mikirestaurant.cz,Miki pub & restaurant,Makovského náměstí 3166/2,616 00,Brno
http://www.morgal.cz,Morgal,Moravské náměstí  1,602 00,Brno
http://www.restauracestavba.cz/,Restaurace Stavba,Grohova   2,602 00,Brno
http://www.piccolobar.cz/,Piccolo bar,Merhautova 969/93,613 00,Brno
